Name	Fraction	Experiment
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_black_Frac12_3	12	L3
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_black_Frac13_3	13	L3
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_green_Frac12_2	12	L2
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_green_Frac13_2	13	L2
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_red_Frac12_1	12	L1
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli10_red_Frac13_1	13	L1
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_black_Frac12_3	12	H3
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_black_Frac13_3	13	H3
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_green_Frac12_2	12	H2
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_green_Frac13_2	13	H2
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_red_Frac12_1	12	H1
20070904_CL_Orbi4_Offgel_XIC_Hela60_Ecoli30_red_Frac13_1	13	H1
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac01_03	1	L3
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac02_03	2	L3
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac03_02	3	L2
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac03_03	3	L3
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac01_02	1	L2
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac02_02	2	L2
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac01_01	1	L1
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac02_01	2	L1
20070918_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac03_01	3	L1
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac01_03	1	H3
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac02_03	2	H3
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac03_03	3	H3
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac01_02	1	H2
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac02_02	2	H2
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac03_02	3	H2
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac01_01	1	H1
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac02_01	2	H1
20070919_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac03_01	3	H1
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac4_03	4	L3
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac5_03	5	L3
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac4_02	4	L2
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac5_02	5	L2
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac4_01	4	L1
20070920_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac5_01	5	L1
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac04_03	4	H3
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac05_03	5	H3
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac04_02	4	H2
20070921_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac05_02	5	H2
