ensembl_gene_id,external_gene_name,entrezgene_id
ENSG00000210049,MT-TF,NA
ENSG00000211459,MT-RNR1,NA
ENSG00000210077,MT-TV,NA
ENSG00000210082,MT-RNR2,NA
ENSG00000209082,MT-TL1,NA
ENSG00000198888,MT-ND1,4535
ENSG00000210100,MT-TI,NA
ENSG00000210107,MT-TQ,NA
ENSG00000210112,MT-TM,NA
ENSG00000198763,MT-ND2,4536
ENSG00000210117,MT-TW,NA
ENSG00000210127,MT-TA,NA
ENSG00000210135,MT-TN,NA
ENSG00000210140,MT-TC,NA
ENSG00000210144,MT-TY,NA
ENSG00000198804,MT-CO1,4512
ENSG00000210151,MT-TS1,113219467
ENSG00000210154,MT-TD,NA
ENSG00000198712,MT-CO2,4513
ENSG00000210156,MT-TK,NA
ENSG00000228253,MT-ATP8,4509
ENSG00000198899,MT-ATP6,4508
ENSG00000198938,MT-CO3,4514
ENSG00000210164,MT-TG,NA
ENSG00000198840,MT-ND3,4537
ENSG00000210174,MT-TR,NA
ENSG00000212907,MT-ND4L,4539
ENSG00000198886,MT-ND4,4538
ENSG00000210176,MT-TH,NA
ENSG00000210184,MT-TS2,NA
ENSG00000210191,MT-TL2,NA
ENSG00000198786,MT-ND5,4540
ENSG00000198695,MT-ND6,4541
ENSG00000210194,MT-TE,NA
ENSG00000198727,MT-CYB,4519
ENSG00000210195,MT-TT,NA
ENSG00000210196,MT-TP,NA
ENSG00000271254,,102724250
ENSG00000280538,,NA
ENSG00000278457,5S_rRNA,NA
ENSG00000278704,,NA
ENSG00000262826,INTS3,65123
ENSG00000278294,5_8S_rRNA,NA
ENSG00000281806,,NA
ENSG00000281362,LINC01115,339822
ENSG00000273947,KIR2DL3,3804
ENSG00000275151,,NA
ENSG00000274861,LILRP2,79166
ENSG00000276779,KIR2DL4,3805
ENSG00000279969,,NA
ENSG00000274882,LINC02109,NA
ENSG00000274339,LILRP1,NA
ENSG00000273735,KIR3DL2,3812
ENSG00000276820,KIR2DL1,3802
ENSG00000273775,KIR3DL1,3811
ENSG00000278306,KIR2DS3,3808
ENSG00000274324,KIR2DS4,3809
ENSG00000276433,KIR3DL3,115653
ENSG00000275732,KIR2DL4,3805
ENSG00000277995,,NA
ENSG00000274130,,NA
ENSG00000278731,KIR2DL2,3803
ENSG00000277921,LILRP1,NA
ENSG00000277554,KIR2DL3,3804
ENSG00000277620,KIR3DL3,115653
ENSG00000276970,,NA
ENSG00000278074,KIR2DL4,3805
ENSG00000277272,KIR3DL1,3811
ENSG00000276044,KIR2DL4,3805
ENSG00000277355,KIR2DL4,3805
ENSG00000274714,KIR2DS4,3809
ENSG00000274807,KIR2DS4,3809
ENSG00000280663,PCMTD2,55251
ENSG00000277334,NCR1,9437
ENSG00000276379,KIR3DL1,3811
ENSG00000275442,LILRP2,79166
ENSG00000276518,KIR3DP1,NA
ENSG00000278152,KIR2DS2,100132285
ENSG00000277484,KIR2DL3,3804
ENSG00000273575,KIR2DL4,3805
ENSG00000273510,KIR2DL1,3802
ENSG00000275237,KIR2DL4,3805
ENSG00000275751,KIR3DP1,NA
ENSG00000276858,FCAR,2204
ENSG00000277616,KIR2DL1,3802
ENSG00000275717,KIR3DL1,3811
ENSG00000277044,OPRL1,4987
ENSG00000273670,LILRP1,NA
ENSG00000277251,KIR2DL2,3803
ENSG00000274476,KIR2DP1,NA
ENSG00000277339,NPBWR2,2832
ENSG00000277456,,NA
ENSG00000278606,KIR2DL4,3805
ENSG00000280695,,NA
ENSG00000276876,MYT1,4661
ENSG00000276501,KIR3DL1,3811
ENSG00000276328,KIR3DL3,115653
ENSG00000273755,LILRP2,79166
ENSG00000262025,,NA
ENSG00000263275,,NA
ENSG00000262299,,343052
ENSG00000275407,KIR2DL2,3803
ENSG00000262767,GEMIN2P1,NA
ENSG00000261992,GATAD2B,57459
ENSG00000278805,KIR2DL1,3802
ENSG00000274692,KIR2DL1,3802
ENSG00000277345,KIR2DS4,3809
ENSG00000276424,KIR3DL2,3812
ENSG00000263057,KRT20,54474
ENSG00000273526,KIR2DS4,3809
ENSG00000275062,KIR3DL3,115653
ENSG00000276423,KIR3DL1,3811
ENSG00000275433,KIR3DL3,115653
ENSG00000262068,KRTAP3-1,83896
ENSG00000273738,FCAR,2204
ENSG00000278786,KIR3DP1,NA
ENSG00000263296,KRTAP3-2,83897
ENSG00000274948,KIR3DL1,3811
ENSG00000262121,KRTAP4-9,100132386
ENSG00000263130,,NA
ENSG00000263163,SLC27A3,11000
ENSG00000281935,DNAH10,196385
ENSG00000263091,KRTAP2-4,85294
ENSG00000276885,KIR2DS4,3809
ENSG00000264450,,NA
ENSG00000274696,KIR3DL3,115653
ENSG00000274163,KIR3DP1,NA
ENSG00000274842,LILRP2,79166
ENSG00000263309,KRT23,25984
ENSG00000275786,KIR3DL1,3811
ENSG00000277835,KIR3DP1,NA
ENSG00000277070,LILRP1,NA
ENSG00000278427,KIR3DL1,3811
ENSG00000274406,KIR2DS4,3809
ENSG00000276676,KIR2DS5,3810
ENSG00000276985,FCAR,2204
ENSG00000277078,KIR2DS4,3809
ENSG00000277376,KIR2DP1,NA
ENSG00000275276,KIR2DL1,3802
ENSG00000276084,KIR3DL3,115653
ENSG00000276258,KIR2DS2,100132285
ENSG00000275659,KIR3DL1,3811
ENSG00000275946,KIR2DL5B,553128
ENSG00000274189,KIR2DL4,3805
ENSG00000277267,LILRP2,79166
ENSG00000277982,KIR3DL2,3812
ENSG00000276534,KIR3DS1,3813
ENSG00000274120,LILRP2,79166
ENSG00000276425,KIR2DS2,100132285
ENSG00000275421,KIR2DS1,3806
ENSG00000275047,KIR2DS3,3808
ENSG00000278345,,NA
ENSG00000275172,KIR3DL3,115653
ENSG00000275080,KIR2DL1,3802
ENSG00000275511,KIR3DL2,3812
ENSG00000275112,LILRP1,NA
ENSG00000274518,KIR2DS2,100132285
ENSG00000276013,,NA
ENSG00000277725,KIR2DL2,3803
ENSG00000274945,KIR2DL4,3805
ENSG00000274009,,NA
ENSG00000274942,KIR2DP1,NA
ENSG00000274722,KIR3DL2,3812
ENSG00000278051,KIR3DP1,NA
ENSG00000278850,KIR3DL2,3812
ENSG00000273518,KIR3DL1,3811
ENSG00000275351,KIR2DS4,3809
ENSG00000274782,KIR2DL1,3802
ENSG00000275018,,NA
ENSG00000277833,KIR2DL1,3802
ENSG00000262994,,NA
ENSG00000269823,,NA
ENSG00000262710,Y_RNA,NA
ENSG00000262469,Y_RNA,NA
ENSG00000275035,CCDC92,80212
ENSG00000276295,Metazoa_SRP,NA
ENSG00000275531,Metazoa_SRP,NA
ENSG00000276035,KIR3DP1,NA
ENSG00000276001,LILRP1,NA
ENSG00000277193,KIR2DS3,3808
ENSG00000277176,KIR3DP1,NA
ENSG00000275289,LILRP2,79166
ENSG00000276392,KIR2DL5A,57292
ENSG00000277650,KIR2DS3,3808
ENSG00000277964,KIR2DL4,3805
ENSG00000274851,KIR2DP1,NA
ENSG00000276329,KIR3DL1,3811
ENSG00000262845,KRT40,125115
ENSG00000276212,KIR3DP1,NA
ENSG00000273661,KIR2DL2,3803
ENSG00000273688,KIR3DP1,NA
ENSG00000273881,LILRP1,NA
ENSG00000274830,KIR2DL3,3804
ENSG00000274826,LILRP2,79166
ENSG00000274271,LILRP1,NA
ENSG00000276099,LILRP1,NA
ENSG00000277940,,NA
ENSG00000277570,LILRP1,NA
ENSG00000274676,KIR2DL5A,57292
ENSG00000273578,KIR2DL2,3803
ENSG00000276306,,NA
ENSG00000278369,KIR2DL3,3804
ENSG00000274955,KIR2DL4,3805
ENSG00000276004,KIR3DL2,3812
ENSG00000275699,KIR2DL4,3805
ENSG00000276498,KIR3DS1,3813
ENSG00000262808,KRTAP1-1,81851
ENSG00000262731,,728279
ENSG00000274707,KIR2DL5B,553128
ENSG00000274193,KIR2DL4,3805
ENSG00000263229,KRTAP4-11,653240
ENSG00000262487,,NA
ENSG00000262376,KRTAP2-5P,NA
ENSG00000262347,KRTAP1-3,81850
ENSG00000262520,KRTAP4-16,NA
ENSG00000275008,KIR2DL3,3804
ENSG00000263243,KRT12,3859
ENSG00000281954,,NA
ENSG00000275599,KIR2DS3,3808
ENSG00000274402,KIR2DL3,3804
ENSG00000261862,KRTAP1-5,83895
ENSG00000262164,KRT39,390792
ENSG00000276247,LILRP2,79166
ENSG00000274283,KIR3DS1,3813
ENSG00000275255,KIR3DP1,NA
ENSG00000273528,LILRP2,79166
ENSG00000276086,KIR3DL3,115653
ENSG00000274243,KIR2DS5,3810
ENSG00000275521,NCR1,9437
ENSG00000275486,KIR3DL1,3811
ENSG00000278414,KIR2DL5B,553128
ENSG00000278474,KIR3DL2,3812
ENSG00000273502,KIR3DL3,115653
ENSG00000262616,KRTAP3-4P,NA
ENSG00000261852,KRTAP2-1,81872
ENSG00000276590,KIR2DL3,3804
ENSG00000274480,KIR3DL3,115653
ENSG00000263101,KRTAP3-3,85293
ENSG00000275750,KIR2DL1,3802
ENSG00000278710,KIR3DL2,3812
ENSG00000262862,KRTAP2-3,730755
ENSG00000263236,KRTAP4-12,83755
ENSG00000263242,KRTAP1-4,728255
ENSG00000266286,,100996750
ENSG00000261968,KRTAP4-8,728224
ENSG00000274724,KIR3DL3,115653
ENSG00000273603,KIR2DS1,3806
ENSG00000275596,KIR2DL5A,57292
ENSG00000278360,,NA
ENSG00000276139,KIR2DS2,100132285
ENSG00000273922,LILRP2,79166
ENSG00000274788,LILRP2,79166
ENSG00000276806,KIR3DL3,115653
ENSG00000281738,LINC01839,NA
ENSG00000281250,LINC02054,105374250
ENSG00000275452,KIR2DS2,100132285
ENSG00000275608,KIR3DS1,3813
ENSG00000276218,KIR2DL3,3804
ENSG00000277362,KIR2DL4,3805
ENSG00000278442,KIR3DL2,3812
ENSG00000278758,KIR3DL2,3812
ENSG00000275253,KIR2DS2,100132285
ENSG00000275626,KIR3DL2,3812
ENSG00000274146,KIR3DL1,3811
ENSG00000277742,KIR3DP1,NA
ENSG00000282469,LINC00254,64735
ENSG00000275938,KIR2DS4,3809
